Transaction ID;Timestamp;Transaction Type;In/Out;Amount Fiat;Fiat;Amount Asset;Asset;Asset market price;Asset market price currency;Asset class;Product ID;Fee;Fee asset;Spread;Spread Currency;Tax Fiat
T1ef39c2d-671b-66f0-b6df-f6f38b4ac24a;2024-07-04T07:04:08+02:00;buy;outgoing;50.00;EUR;100.59011189;MATIC;0.50;EUR;Cryptocurrency;134;-;-;-;-;0.00
T1ef39c2f-a690-6540-87a6-b3ea30392f5c;2024-07-04T07:05:10+02:00;buy;outgoing;25.00;EUR;11756.51781347;VTHO;0.00;EUR;Cryptocurrency;2645;-;-;-;-;0.00
T1ef39c38-1844-6530-b34f-122335a858ed;2024-07-04T07:08:55+02:00;buy;outgoing;25.00;EUR;87.02346169;SEI;0.29;EUR;Cryptocurrency;2987;-;-;-;-;0.00
T1ef39c43-6928-6540-da2f-0babe22f958a;2024-07-04T07:13:59+02:00;buy;outgoing;30.00;EUR;1.21102912;AVAX;24.77;EUR;Cryptocurrency;67;-;-;-;-;0.00
T1ef39c47-f0e6-6dc0-9298-9c5a40197bf8;2024-07-04T07:16:00+02:00;buy;outgoing;25.00;EUR;66.63839244;ADA;0.38;EUR;Cryptocurrency;22;-;-;-;-;0.00
T1ef3a891-1160-6100-c80c-20b80dc2d57e;2024-07-05T06:43:07+02:00;buy;outgoing;50.00;EUR;4.54802410;LINK;10.99;EUR;Cryptocurrency;25;-;-;-;-;0.00
T1ef3a898-305a-6310-9243-1842be0d14d6;2024-07-05T06:46:18+02:00;buy;outgoing;20.00;EUR;10639.14674043;VTHO;0.00;EUR;Cryptocurrency;2645;-;-;-;-;0.00
T1ef3a8af-44fc-60e0-0e54-ed880c776fde;2024-07-05T06:56:37+02:00;buy;outgoing;50.00;EUR;10.14356763;DOT;4.93;EUR;Cryptocurrency;51;-;-;-;-;0.00
T1ef3a8b0-5553-64b0-b32a-2375bfc0c767;2024-07-05T06:57:05+02:00;buy;outgoing;30.00;EUR;70.44106319;MATIC;0.43;EUR;Cryptocurrency;134;-;-;-;-;0.00
T1ef3a8b3-5e41-6560-cef8-c6fb556fd0eb;2024-07-05T06:58:27+02:00;buy;outgoing;20.00;EUR;0.92172225;AVAX;21.70;EUR;Cryptocurrency;67;-;-;-;-;0.00
T1ef3a8b7-244e-6e80-9d01-de4f582f7dc1;2024-07-05T07:00:09+02:00;buy;outgoing;20.00;EUR;83.86643029;SEI;0.24;EUR;Cryptocurrency;2987;-;-;-;-;0.00
